contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x0208a56ea43c3ff6c2611071948794c2674a16b9_1,EtherLeak,kill,4,2,5,3,4,5,4,3,7,3,4,5,3,4,10,3,10,6,4,3,5,4,3,5,3,4,4,5,4,4,4,3,6,5,3,3,3,4,3,4
0x05f8b281410c9327a1bbf508db380fd967c31df6,SuicidalContract,selfdestructs,3,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,7,1,8,1,4,1,1,3,3,1,1,4,4,3,4,1,1,1,4,3,1,4,1,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,SuicidalContract,kill,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,EtherLeak,withdrawFunds,1,2,2,2,5,10,3,3,10,2,4,5,2,2,2,11,6,5,12,2,2,5,3,3,2,8,5,2,2,3,4,3,5,4,7,3,5,3,13,2
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2,EtherLeak,withdrawFunds,2,3,2,6,3,2,8,2,6,2,3,2,2,3,2,11,5,2,3,3,6,2,2,7,3,3,3,3,3,2,2,2,2,2,3,3,6,6,2,5
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,SuicidalContract,deprecateContract,1,1,1,16,14,1,1,1,15,1,14,1,1,1,1,1,14,2,13,1,1,1,1,1,14,1,14,13,1,1,13,15,2,1,2,1,1,1,2,1
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,EtherLeak,withdraw,352,873,636,890,4732,3575,373,603,1006,582,820,371,662,454,666,360,389,1167,604,410,77,837,2150,307,917,545,2435,227,501,570,796,983,591,613,667,189,59,710,1333,547
0x11eba93a0a852fd34002f5411e1663cf864edb8b_2,SuicidalContract,deprecateContract,13,15,13,12,16,15,15,15,14,12,13,15,13,13,13,13,13,10,13,14,14,12,15,14,12,13,14,21,15,14,14,13,14,15,14,15,19,20,13,15
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,SuicidalContract,deprecateContract,53,78,46,35,38,111,42,38,86,57,63,57,204,38,12,42,45,39,79,39,35,81,61,49,63,33,47,88,53,40,78,192,70,24,64,50,30,36,89,37
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,EtherLeak,withdraw,224,268,151,42,222,185,278,495,167,1191,262,45,224,299,381,290,197,433,398,272,170,33,150,597,800,166,171,377,176,60,45,828,412,54,121,30,81,169,291,212
0x13a517751318cce71a524006b16f7930b3515ccf,EtherLeak,withdraw,15,45,16,15,21,17,18,18,15,16,12,18,14,15,20,16,19,22,14,15,17,18,24,17,12,13,14,13,12,13,16,30,13,15,14,12,23,16,14,20
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,Transfer_anything,31,20,20,35,6,19,30,6,6,6,29,29,5,7,182,7,35,26,26,34,20,67,4,31,5,20,18,22,31,31,28,6,27,26,22,6,29,45,56,7
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,kill,31,20,20,35,6,19,30,6,6,6,29,29,5,7,182,7,35,26,26,34,20,67,4,31,5,20,18,22,31,31,28,6,27,26,22,6,29,45,56,7
0x2120887e9e4889653770b228ee8d13231d0ef045_2,EtherLeak,Transfer_anything,1351,6911,N/A,N/A,6641,1914,N/A,1552,N/A,N/A,N/A,694,N/A,500,N/A,N/A,391,2141,N/A,436,N/A,676,N/A,N/A,2726,2657,N/A,2481,733,2729,2122,N/A,619,N/A,N/A,N/A,2459,N/A,N/A,N/A
0x2120887e9e4889653770b228ee8d13231d0ef045_3,SuicidalContract,kill,105,40,76,38,64,100,37,93,68,240,131,31,34,25,169,35,25,29,39,57,31,183,175,67,126,88,95,139,56,70,70,35,128,44,38,45,84,69,58,77
0x2120887e9e4889653770b228ee8d13231d0ef045_3,EtherLeak,Transfer_anything,105,40,76,38,64,100,37,93,68,240,131,31,34,25,169,35,25,29,39,57,31,183,175,67,126,88,95,139,56,70,70,35,128,44,38,45,84,69,58,77
0x2120887e9e4889653770b228ee8d13231d0ef045_3,EtherLeak,kill,105,40,76,38,64,100,37,93,68,240,131,31,34,25,169,35,25,29,39,57,31,183,175,67,126,88,95,139,56,70,70,35,128,44,38,45,84,69,58,77
0x287fda15f8f002e5df9f536f10bbfc0816960f36_1,EtherLeak,@fallback,2,3,19,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,3,14,3,3,3,18,3,3,3,3,3,3,3,3
0x287fda15f8f002e5df9f536f10bbfc0816960f36_1,EtherLeak,selfdestructs,2,3,19,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,3,14,3,3,3,18,3,3,3,3,3,3,3,3
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,SuicidalContract,selfdestructs,21,7,5,6,5,6,26,16,22,7,28,30,14,15,32,23,15,17,7,26,22,5,36,15,7,14,7,6,5,23,18,20,36,8,21,6,6,8,5,6
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,EtherLeak,@fallback,21,7,5,6,5,6,22,16,22,7,28,30,14,15,32,23,15,17,7,26,22,5,36,15,7,14,7,6,5,23,18,20,36,8,21,6,6,8,5,6
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,EtherLeak,selfdestructs,21,7,5,6,5,6,22,16,22,7,28,30,14,15,32,23,15,17,7,26,22,5,36,15,7,14,7,6,5,23,18,20,36,8,21,6,6,8,5,6
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,SuicidalContract,collectOwnerWinnings,23,25,22,37,38,18,32,35,24,28,12,39,13,32,10,101,47,15,29,22,16,72,14,32,19,42,66,41,13,15,11,65,13,2,29,11,17,27,37,45
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,EtherLeak,collectPlayerWinnings,1019,1641,2560,2203,5606,1420,N/A,49,1124,5131,296,3107,6322,449,5065,1917,478,3733,N/A,390,2256,4616,1883,4450,759,780,N/A,6188,3058,74,1852,N/A,86,1539,772,136,5030,709,854,2180
0x34BC9A332350A41374aa650f1152C8D88e35a878_2,SuicidalContract,collectOwnerWinnings,13,13,52,13,17,31,24,81,7,22,22,43,28,28,63,17,72,20,16,9,39,44,25,42,17,38,24,28,13,23,11,30,21,39,27,21,14,16,58,42
0x3da034753b42bda1bcfa682f29685e2fd6729016,EtherLeak,withdraw,11,21,13,18,19,20,15,13,13,20,54,19,16,14,15,21,18,16,26,25,28,13,15,15,18,13,16,20,66,13,14,21,18,16,14,13,13,14,14,17
