contract,bug_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
2018-10376,IntegerBug,N/A,310,76,50,88,178,53,195,254,368,366,67,88,38,50,68,280,217,393,95,56,N/A,132,675,52,195,84,142,135,478,326,87,106,144,469,67,109,95,50,304
2018-10468,IntegerBug,101,112,24,170,88,120,92,80,79,65,28,80,102,94,74,101,42,78,96,94,85,185,45,118,260,67,72,102,98,56,90,74,93,119,83,42,107,82,284,73
2018-10706,IntegerBug,21,34,27,25,8,17,48,24,18,31,25,25,34,39,43,31,8,197,29,31,39,31,39,32,35,161,50,19,5,25,33,39,35,18,27,33,30,3,34,21
2018-11446,IntegerBug,68,86,251,17,81,15,86,59,37,16,344,48,78,37,50,5,44,31,14,34,80,85,51,73,377,84,16,300,39,20,51,15,43,65,56,54,399,77,38,17
2018-12062,IntegerBug,13,4,9,15,27,21,16,3,3,21,2,15,4,12,16,14,3,17,12,21,19,3,18,3,14,22,3,16,18,16,26,17,22,23,61,3,16,17,22,28
2018-12063,IntegerBug,28,19,38,21,23,32,45,66,60,19,21,22,48,29,23,24,24,80,26,25,30,12,59,18,30,19,84,21,27,15,19,54,74,21,40,58,76,4,41,20
2018-12067,IntegerBug,3,3,3,12,21,22,15,26,2,19,21,14,4,20,11,3,11,18,20,21,16,18,23,20,20,17,4,14,17,12,3,12,3,3,22,20,19,4,19,16
2018-12068,IntegerBug,16,16,4,25,13,26,9,34,10,19,3,21,12,10,3,13,15,26,16,3,21,3,4,13,24,4,22,28,3,32,21,3,15,4,21,20,18,3,4,19
2018-12070,IntegerBug,10,61,14,21,14,52,23,24,44,4,28,14,14,76,54,9,26,22,25,4,23,35,14,53,11,30,14,39,76,26,11,13,27,25,23,28,4,23,25,26
2018-13070,IntegerBug,38,15,12,59,21,9,9,10,28,54,9,13,50,12,12,14,45,13,21,18,12,19,14,11,47,9,44,18,11,30,45,9,48,12,20,10,19,20,12,46
2018-13126,IntegerBug,23,29,40,34,39,12,55,27,15,20,24,3,37,39,53,24,15,4,29,20,3,50,27,20,34,66,16,3,46,20,5,20,14,51,33,42,21,72,N/A,N/A
2018-13127,IntegerBug,41,53,51,5,36,337,42,190,6,18,50,68,42,342,7,45,28,82,54,57,69,42,55,55,367,57,285,54,248,293,35,24,26,51,301,67,63,52,59,14
2018-13129,IntegerBug,58,52,15,6,93,92,64,63,54,63,476,68,460,58,70,84,59,61,61,65,64,55,16,107,59,62,62,56,57,69,53,83,60,69,94,15,63,16,54,70
2018-13130,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13131,IntegerBug,38,11,264,106,207,54,48,75,11,49,49,52,59,74,6,74,53,51,53,59,34,53,266,N/A,53,52,49,397,58,263,57,95,6,51,46,47,288,53,56,91
2018-13132,IntegerBug,56,7,52,9,80,70,16,158,62,59,14,9,61,70,570,18,60,68,16,52,10,47,53,74,16,171,52,54,8,228,88,340,65,54,3568,50,62,67,51,69
2018-13144,IntegerBug,79,26,75,93,6,927,597,78,24,45,286,52,383,52,151,115,110,261,129,31,214,86,1169,135,235,119,110,62,265,247,53,49,419,411,67,530,130,67,25,101
2018-13155,IntegerBug,57,28,16,63,143,57,31,46,41,93,52,48,52,14,45,37,35,49,16,55,26,61,47,40,23,95,52,53,22,47,14,109,33,42,63,63,41,136,15,162
2018-13166,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13167,IntegerBug,7,8,7,8,8,4,10,8,10,10,13,9,9,25,10,22,27,4,23,11,11,12,4,4,29,5,3,20,12,15,12,11,20,22,21,9,16,8,15,21
2018-13177,IntegerBug,13,11,18,17,21,17,14,13,16,25,11,16,20,13,12,17,9,38,25,14,24,28,23,15,13,15,15,17,17,15,20,15,21,20,17,13,18,23,8,15
2018-13183,IntegerBug,23,46,49,43,132,48,180,33,104,62,173,53,26,30,169,74,63,38,34,33,136,36,121,46,136,34,95,156,41,33,45,27,26,154,29,40,35,105,161,159
2018-13189,IntegerBug,7,7,7,39,7,13,22,9,15,8,13,13,16,36,7,14,8,13,10,18,36,14,8,37,9,13,14,38,15,8,9,16,14,35,8,13,8,7,8,39
2018-13196,IntegerBug,31,18,3,3,3,3,18,3,22,16,21,3,12,3,15,2,17,39,26,3,21,3,23,22,14,17,14,19,19,3,13,17,17,26,18,20,24,3,3,13
2018-13197,IntegerBug,22,118,34,25,96,84,91,20,4,25,26,27,124,16,49,20,18,22,26,19,123,78,4,61,17,23,84,13,58,101,28,83,18,86,33,26,109,23,23,135
2018-13198,IntegerBug,213,169,390,238,89,823,265,95,1181,496,401,248,424,401,97,356,175,251,60,47,469,1343,886,1000,206,713,1261,291,290,279,309,421,239,2187,236,397,198,429,1276,1275
2018-13200,IntegerBug,19,27,55,10,31,23,20,41,21,19,19,23,19,19,19,25,20,20,29,50,23,80,22,19,25,21,15,19,17,29,31,13,28,58,18,13,25,62,19,13
2018-13201,IntegerBug,15,9,17,21,11,9,24,13,15,14,22,3,3,21,2,3,20,7,14,11,25,18,3,17,20,17,3,15,12,7,24,3,9,24,9,19,3,2,104,11
2018-13202,IntegerBug,26,13,13,20,13,13,21,28,4,12,23,4,17,17,3,4,31,3,23,137,14,25,22,16,20,28,29,25,3,30,19,24,14,156,22,15,24,22,15,7
2018-13204,IntegerBug,23,28,72,26,4,90,18,22,15,4,26,26,23,37,64,4,32,3,31,51,4,27,4,69,17,4,25,4,90,28,19,9,20,25,25,23,13,80,60,26
2018-13206,IntegerBug,13,29,5,5,23,33,33,26,30,24,5,28,29,5,4,21,26,35,16,18,37,36,26,211,17,34,30,5,5,16,15,24,41,4,33,17,30,30,33,5
2018-13207,IntegerBug,20,27,60,29,19,25,19,28,22,18,99,21,103,19,7,31,27,25,4,31,29,102,4,29,17,83,26,4,126,13,21,87,3,34,33,4,28,28,22,16
2018-13208,IntegerBug,18,23,32,66,26,35,33,30,23,21,58,24,21,47,30,14,22,29,25,33,24,26,38,19,28,130,25,28,9,20,20,29,84,67,69,29,4,65,18,123
2018-13209,IntegerBug,3,33,12,4,63,126,94,27,103,22,24,25,30,20,15,21,23,29,81,20,3,45,30,29,21,47,25,84,4,24,26,11,22,23,21,27,24,22,24,14
2018-13212,IntegerBug,109,79,28,33,30,18,26,27,86,26,18,111,129,28,126,131,14,71,142,3,33,115,151,27,27,20,21,27,128,71,14,28,13,30,20,4,86,29,31,65
2018-13213,IntegerBug,34,17,41,39,41,8,22,20,8,38,44,44,43,45,39,81,44,37,141,113,8,41,21,38,8,40,45,33,62,41,38,19,39,47,43,43,40,22,36,45
2018-13218,IntegerBug,42,24,27,19,29,20,26,30,21,21,164,25,27,121,101,23,78,21,28,28,28,32,3,98,9,3,19,33,15,66,136,20,36,32,61,32,4,211,28,21
2018-13219,IntegerBug,103,261,92,156,289,523,59,690,105,87,97,30,241,137,97,271,96,178,95,282,15,127,98,270,100,91,307,130,497,96,24,480,192,169,317,187,306,70,94,259
