contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x0208a56ea43c3ff6c2611071948794c2674a16b9_1,EtherLeak,kill,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5
0x05f8b281410c9327a1bbf508db380fd967c31df6,SuicidalContract,selfdestructs,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,SuicidalContract,kill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,EtherLeak,withdrawFunds,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2,EtherLeak,withdrawFunds,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,SuicidalContract,deprecateContract,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,EtherLeak,withdraw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x11eba93a0a852fd34002f5411e1663cf864edb8b_2,SuicidalContract,deprecateContract,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,SuicidalContract,deprecateContract,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,EtherLeak,withdraw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x13a517751318cce71a524006b16f7930b3515ccf,EtherLeak,withdraw,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,Transfer_anything,8,7,7,7,7,8,5,5,7,7,7,5,7,7,7,5,7,5,7,7,7,7,5,8,7,5,7,8,8,7,7,7,8,7,7,7,7,7,7,7
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,kill,8,7,7,7,7,8,5,5,7,7,7,5,7,7,7,5,7,5,7,7,7,7,5,8,7,5,7,8,8,7,7,7,8,7,7,7,7,7,7,7
0x2120887e9e4889653770b228ee8d13231d0ef045_2,EtherLeak,Transfer_anything,4,4,3,3,4,3,4,3,4,3,4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,4,3,3,2,3,3,3,3,4,4,3,3,3,3,3
0x2120887e9e4889653770b228ee8d13231d0ef045_3,SuicidalContract,kill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
