contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x0208a56ea43c3ff6c2611071948794c2674a16b9_1,EtherLeak,kill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x05f8b281410c9327a1bbf508db380fd967c31df6,SuicidalContract,selfdestructs,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,SuicidalContract,kill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,EtherLeak,withdrawFunds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2,EtherLeak,withdrawFunds,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,SuicidalContract,deprecateContract,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,EtherLeak,withdraw,613,610,643,601,650,617,634,625,620,655,651,625,619,625,606,617,635,624,633,610,616,633,646,625,638,641,651,611,420,604,623,623,643,656,630,625,614,619,623,637
0x11eba93a0a852fd34002f5411e1663cf864edb8b_2,SuicidalContract,deprecateContract,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,SuicidalContract,deprecateContract,178,190,183,182,189,184,199,188,185,193,193,195,125,184,188,192,188,127,125,202,190,195,127,181,186,187,201,126,186,182,188,191,192,185,193,190,191,188,126,190
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,EtherLeak,withdraw,376,389,394,376,391,387,414,386,374,399,401,403,257,379,388,399,390,262,259,421,383,404,263,373,386,378,409,260,384,376,391,398,397,386,393,393,395,389,261,393
0x13a517751318cce71a524006b16f7930b3515ccf,EtherLeak,withdraw,1758,1728,1750,1750,1745,1775,1714,1723,1735,1740,1765,1784,1746,1731,1757,1732,1720,1748,1777,1771,1726,1734,1771,1738,1730,1770,1732,1731,1747,1721,1752,1721,1730,1781,1750,1725,1746,1764,1743,1745
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,Transfer_anything,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,kill,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x2120887e9e4889653770b228ee8d13231d0ef045_2,EtherLeak,Transfer_anything,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0x2120887e9e4889653770b228ee8d13231d0ef045_3,SuicidalContract,kill,8,9,6,10,9,6,9,9,9,9,10,9,9,9,10,9,9,9,10,10,9,9,10,9,9,9,9,6,9,9,9,10,10,9,9,9,10,9,9,9
0x2120887e9e4889653770b228ee8d13231d0ef045_3,EtherLeak,Transfer_anything,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
