contract,bug_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
2018-10376,IntegerBug,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2018-10468,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-10706,IntegerBug,246,325,247,248,247,297,239,245,253,261,262,263,251,219,326,293,240,322,248,220,295,247,245,247,252,322,244,247,229,254,242,250,244,253,260,244,368,274,253,321
2018-11446,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-12062,IntegerBug,2032,2182,2161,2161,2169,2173,2159,2164,2167,2162,2145,2032,2129,2152,2155,2155,2172,2031,2138,2151,2156,2172,2156,2172,2148,2144,2148,2149,2143,2163,2155,2145,2155,2025,2029,2149,2176,2167,2140,2140
2018-12063,IntegerBug,2144,2168,2164,2162,2140,2148,2147,2156,2144,2153,2138,2136,2147,2152,2156,2032,2156,2129,2168,2162,2170,2120,2132,2124,2157,2151,2164,2140,2147,2151,2150,2133,2151,2170,2164,2148,2135,2157,2160,2138
2018-12067,IntegerBug,2181,2161,2164,2162,2142,2148,2140,2148,2165,2139,2148,2162,2157,2165,2139,2131,2145,2156,2162,2151,2166,2170,2153,2172,2150,2138,2133,2150,2146,2149,2159,2146,2155,2172,2137,2114,2024,2156,2030,2123
2018-12068,IntegerBug,2175,2180,2159,2120,2133,2171,2148,2159,2157,2148,2145,2141,2159,2144,2144,2147,2152,2155,2151,2146,2147,2168,2144,2142,2164,2148,2133,2129,2154,2148,2032,2130,2166,2170,2138,2162,2150,2116,2145,2158
2018-12070,IntegerBug,1024,1025,1030,1037,1009,1038,1027,1017,1026,1022,1042,1028,1000,1032,964,1009,1029,1038,1023,965,1010,986,1034,1032,1024,1020,1027,1032,1039,1035,1034,1027,1037,1019,1022,968,1025,1015,1031,1029
2018-13070,IntegerBug,222,238,213,217,202,213,212,214,203,216,212,214,203,221,213,212,209,212,213,210,211,225,212,213,211,214,212,215,216,214,210,212,221,210,213,216,227,225,210,203
2018-13126,IntegerBug,7,6,10,10,9,10,10,10,10,9,7,7,10,9,10,10,6,9,10,10,10,9,6,9,6,9,10,10,10,11,10,10,10,10,10,10,10,10,8,9
2018-13127,IntegerBug,13,11,15,16,15,15,14,15,15,11,15,15,16,16,16,15,15,15,15,15,14,15,15,13,10,13,15,15,16,15,17,16,11,15,16,16,15,14,11,15
2018-13129,IntegerBug,23,19,23,25,17,24,25,26,25,24,23,24,24,24,25,27,24,24,24,24,17,24,24,25,19,19,24,25,24,24,25,26,25,27,24,25,24,25,24,25
2018-13130,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13131,IntegerBug,15,10,14,15,15,15,15,15,11,15,10,16,15,15,15,11,14,15,16,15,15,10,15,13,10,10,15,15,16,16,16,15,15,11,15,15,14,15,15,15
2018-13132,IntegerBug,23,19,23,24,25,17,25,25,24,17,24,25,24,26,24,17,17,25,25,25,24,24,25,21,21,19,26,24,25,24,25,24,24,26,26,26,25,26,24,25
2018-13144,IntegerBug,44,40,46,46,49,43,47,37,48,46,47,37,47,37,45,47,45,40,48,46,39,48,47,43,43,41,47,49,47,45,48,50,50,47,48,47,49,50,38,38
2018-13155,IntegerBug,163,163,163,165,165,171,164,164,162,163,159,164,164,165,164,162,163,166,156,165,167,165,166,169,163,160,165,164,163,165,169,161,168,166,165,162,165,166,166,166
2018-13166,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13167,IntegerBug,210,444,203,201,214,30,204,33,203,33,203,201,203,200,203,204,207,203,205,1623,410,415,424,196,33,410,202,200,204,202,30,204,29,203,203,201,194,203,33,200
2018-13177,IntegerBug,163,152,154,157,154,160,152,154,153,153,153,151,155,152,157,157,153,153,155,155,153,153,154,155,152,154,154,153,153,152,155,156,155,154,156,154,150,151,154,152
2018-13183,IntegerBug,40,41,40,40,41,41,40,41,41,40,41,35,28,40,41,41,40,41,41,40,41,41,41,41,43,39,40,28,41,41,38,41,40,40,40,27,41,28,43,41
2018-13189,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13196,IntegerBug,3095,3091,3092,3074,3079,3106,3082,3055,3075,3059,3074,3087,3097,3080,3092,3090,2961,3082,3061,3110,3083,3071,3074,2963,2964,3057,3082,3076,3090,3064,2965,3088,3079,3080,3059,3088,3095,3089,3074,2952
2018-13197,IntegerBug,2439,2421,2434,2591,2418,2422,2460,2577,2405,2410,2428,2594,2424,2440,2414,2415,2400,2421,2316,2447,2422,2431,2404,2424,2482,2433,2399,2316,2425,2493,2430,2409,2416,2431,2407,2431,2315,2318,2407,2336
2018-13198,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13200,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13201,IntegerBug,2450,2449,2429,2425,2419,2441,2423,2435,2438,2428,2412,2441,2436,2443,2430,2440,2453,2433,2418,2429,2444,2448,2402,2425,2446,2443,2402,2443,2422,2440,2406,2433,2430,2437,2421,2305,2423,2420,2448,2414
2018-13202,IntegerBug,2501,2484,2490,2492,2376,2496,2487,2492,2484,2490,2495,2489,2386,2491,2410,2488,2532,2484,2460,2515,2468,2501,2380,2503,2517,2501,2517,2495,2497,2489,2501,2517,2501,2510,2490,2492,2510,2492,2480,2476
2018-13204,IntegerBug,2773,2774,2762,2744,2750,2745,2761,2769,2746,2755,2754,2753,2749,2774,2770,2767,2650,2753,2654,2772,2748,2757,2780,2752,2755,2661,2775,2743,2752,2748,2763,2762,2750,2758,2889,2746,2766,2734,2649,2732
2018-13206,IntegerBug,2581,2425,2653,2596,2586,2653,2599,2715,2630,2606,2574,2569,2589,2596,2621,2621,2606,2561,2624,2588,2613,2613,2628,2623,2662,2557,2633,2600,2575,2619,2645,2641,2622,2585,2642,2543,2636,2606,2552,2519
2018-13207,IntegerBug,2735,2750,2762,2764,2775,2761,2759,2750,2772,2750,2761,2760,2771,2764,2759,2744,2766,2761,2760,2766,2769,2757,2749,2741,2776,2740,2773,2748,2764,2765,2750,2763,2739,2755,2752,2762,2746,2735,2757,2757
2018-13208,IntegerBug,2742,2728,2744,2640,2802,2720,2631,2736,2637,2716,2708,2718,2720,2716,2648,2728,2717,2711,2720,2792,2746,2723,2875,2749,2732,2848,2734,2735,2852,2738,2742,2749,2739,2728,2732,2746,2856,2869,2742,2785
2018-13209,IntegerBug,2759,2757,2713,2726,2719,2728,2710,2739,2724,2723,2730,2741,2734,2735,2701,2735,2728,2728,2724,2752,2737,2712,2714,2720,2747,2722,2717,2730,2741,2733,2738,2718,2730,2756,2717,2743,2726,2735,2727,2725
2018-13212,IntegerBug,2764,2768,2753,2747,2748,2752,2745,2729,2744,2746,2744,2743,2742,2750,2747,2720,2741,2742,2745,2710,2752,2733,2631,2748,2750,2728,2736,2744,2729,2739,2745,2755,2632,2759,2756,2748,2763,2740,2722,2717
2018-13213,IntegerBug,6352,6319,6298,6285,6263,6400,6358,6240,6281,6367,6344,6504,6245,6318,6282,6298,6273,6495,6371,6434,6478,6245,6375,6291,6344,6352,6467,6365,6280,6211,6265,6313,6380,6414,6277,6313,6387,6305,6289,6145
2018-13218,IntegerBug,2774,2760,2719,2765,2729,2768,2759,2729,2745,2765,2738,2741,2757,2734,2750,2751,2747,2770,2761,2725,2734,2760,2747,2734,2717,2741,2770,2731,2756,2739,2756,2745,2727,2733,2734,2749,2755,2738,2709,2724
2018-13219,IntegerBug,1264,3336,1248,1242,1304,1260,1255,1266,1261,1267,1250,1238,1254,1223,1252,3261,1127,1261,1271,1242,1254,3244,1246,1255,3230,1246,5266,1254,3226,1254,1257,1238,1122,1246,1122,3249,1269,1240,1227,1241
2018-13220,IntegerBug,2131,2021,2031,2130,2143,2137,2141,2023,2129,2131,2149,2045,2052,2024,2040,2075,2117,2154,2117,2039,2102,2122,2108,2130,2167,2128,2139,2131,2135,2138,2164,2143,2144,2141,2146,2155,2116,2107,2111,2126
2018-13221,IntegerBug,1072,1026,1073,1063,1081,1076,1076,1021,1062,1082,1024,1063,1080,1063,1074,1093,1071,1077,1072,1032,1024,1070,1029,1072,1085,1075,1086,1084,1099,1071,1069,1073,1128,1091,1077,1085,1091,1080,1078,1071
2018-13222,IntegerBug,2184,2163,2163,2170,2144,2143,2142,2173,2170,2036,2142,2152,2033,2162,2150,2164,2036,2160,2166,2177,2158,2183,2186,2163,2150,2157,2177,2173,2162,2152,2186,2171,2166,2031,2183,2165,2153,2173,2158,2148
2018-13223,IntegerBug,2163,2134,2156,2135,2150,2159,2024,2141,2027,2028,2149,2139,2141,2165,2153,2131,2168,2137,2144,2073,2141,2144,2159,2145,2139,2145,2140,2139,2142,2140,2164,2145,2149,2153,2163,2139,2149,2155,2138,2145
