contract,bug_type,func,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
0x0208a56ea43c3ff6c2611071948794c2674a16b9_1,EtherLeak,kill,22,11,14,16,29,34,25,35,29,41,19,27,16,20,23,34,2,13,20,34,14,30,19,20,21,25,20,11,19,13,29,9,30,40,50,31,42,9,4,16
0x05f8b281410c9327a1bbf508db380fd967c31df6,SuicidalContract,selfdestructs,1,1,1,1,1,1,4,1,1,4,1,3,5,3,1,1,1,1,1,3,3,4,4,1,1,3,1,1,1,1,1,3,1,1,1,1,3,1,1,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,SuicidalContract,kill,1,2,2,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_1,EtherLeak,withdrawFunds,3,7,10,23,7,11,8,23,41,9,11,18,10,3,2,11,29,9,29,30,11,2,22,7,16,18,19,24,19,5,18,12,19,12,11,10,25,7,24,7
0x0d0edbcf2c0da25ac9a79c9466989e46a8f96221_2,EtherLeak,withdrawFunds,2,24,13,4,2,16,6,3,11,4,4,17,3,8,1,2,10,18,17,2,6,7,21,11,12,2,19,17,10,16,1,6,18,8,3,10,5,2,4,3
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,SuicidalContract,deprecateContract,14,16,13,14,27,15,19,20,13,9,21,14,12,16,16,21,14,13,14,17,19,16,14,20,14,14,12,18,13,17,18,16,17,14,13,17,14,15,14,18
0x11eba93a0a852fd34002f5411e1663cf864edb8b_1,EtherLeak,withdraw,1193,1665,1827,1030,N/A,N/A,7054,N/A,N/A,908,N/A,4353,999,N/A,4501,455,N/A,1524,948,N/A,N/A,648,N/A,1087,N/A,1037,N/A,N/A,3794,N/A,1011,N/A,1195,3983,N/A,N/A,N/A,5853,3350,N/A
0x11eba93a0a852fd34002f5411e1663cf864edb8b_2,SuicidalContract,deprecateContract,12,15,15,9,13,14,17,11,12,15,12,12,12,17,10,13,13,13,15,13,15,12,12,16,13,16,13,14,13,16,12,14,12,16,14,15,13,15,13,12
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,SuicidalContract,deprecateContract,244,65,163,157,113,222,90,249,180,115,391,43,117,391,224,115,60,472,161,147,340,531,65,163,67,104,128,212,105,218,671,136,107,669,937,74,175,135,772,116
0x11eba93a0a852fd34002f5411e1663cf864edb8b_3,EtherLeak,withdraw,642,1948,1315,322,1966,223,1814,N/A,394,3052,147,1169,595,1191,219,1104,830,3485,874,N/A,410,N/A,186,1242,2535,759,957,209,266,1146,N/A,995,109,102,255,259,412,3685,1074,679
0x13a517751318cce71a524006b16f7930b3515ccf,EtherLeak,withdraw,16,27,17,15,30,11,19,25,30,12,39,16,27,16,69,31,17,108,17,21,27,19,28,28,20,15,27,21,186,13,24,15,131,19,16,23,20,18,27,18
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,Transfer_anything,347,30,1782,1875,2877,374,N/A,1834,39,2338,310,27,505,447,474,215,N/A,2728,447,2544,2693,2779,173,514,240,548,447,226,414,539,23,N/A,349,466,468,28,441,522,415,27
0x2120887e9e4889653770b228ee8d13231d0ef045_1,EtherLeak,kill,347,30,1782,1875,2877,374,N/A,1834,39,2338,310,27,505,447,474,215,N/A,2728,447,2544,2693,2779,173,514,240,548,447,226,414,539,23,N/A,349,466,468,28,441,522,415,27
0x2120887e9e4889653770b228ee8d13231d0ef045_2,EtherLeak,Transfer_anything,1320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2763,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3824,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0x2120887e9e4889653770b228ee8d13231d0ef045_3,SuicidalContract,kill,292,111,159,191,102,609,757,252,236,146,102,392,456,183,1440,419,332,101,286,524,99,175,269,396,548,165,319,156,719,303,693,570,362,375,861,148,125,663,787,188
0x2120887e9e4889653770b228ee8d13231d0ef045_3,EtherLeak,Transfer_anything,292,111,159,191,102,609,757,252,236,146,102,392,456,183,1440,419,332,101,286,524,99,175,269,396,548,165,319,156,719,303,693,570,362,375,861,148,125,663,787,188
0x2120887e9e4889653770b228ee8d13231d0ef045_3,EtherLeak,kill,292,111,159,191,102,609,757,252,236,146,102,392,456,183,1440,419,332,101,286,524,99,175,269,396,548,165,319,156,719,303,693,570,362,375,861,148,125,663,787,188
0x287fda15f8f002e5df9f536f10bbfc0816960f36_1,EtherLeak,@fallback,101,200,465,114,440,2321,841,6649,285,80,216,958,N/A,128,224,350,N/A,1841,1909,178,252,209,830,891,1735,190,607,N/A,193,142,158,23,1423,463,122,75,5663,266,1411,5743
0x287fda15f8f002e5df9f536f10bbfc0816960f36_1,EtherLeak,selfdestructs,101,200,465,114,440,2321,841,6649,285,80,216,958,N/A,128,224,350,N/A,1841,1909,178,252,209,830,891,1735,190,607,N/A,193,142,158,23,1423,463,122,75,5663,266,1411,5743
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,SuicidalContract,selfdestructs,362,1485,51,299,129,234,372,59,701,116,316,139,797,235,329,437,145,45,28,47,111,37,1133,684,4949,252,1382,561,40,30,163,273,70,65,80,67,485,54,66,264
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,EtherLeak,@fallback,362,1458,51,299,129,234,372,59,88,116,249,139,616,235,195,166,145,45,28,47,111,37,436,138,386,67,119,561,40,30,163,273,70,65,80,67,485,54,66,264
0x287fda15f8f002e5df9f536f10bbfc0816960f36_3,EtherLeak,selfdestructs,362,1458,51,299,129,234,372,59,88,116,249,139,616,235,195,166,145,45,28,47,111,37,436,138,386,67,119,561,40,30,163,273,70,65,80,67,485,54,66,264
0x34BC9A332350A41374aa650f1152C8D88e35a878_1,SuicidalContract,collectOwnerWinnings,51,17,85,52,25,190,45,28,86,62,29,30,47,60,101,90,36,43,69,44,25,19,34,52,42,86,210,23,155,43,107,56,57,39,32,67,66,56,261,30
