contract,bug_type,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31,iter_32,iter_33,iter_34,iter_35,iter_36,iter_37,iter_38,iter_39,iter_40
2018-10376,IntegerBug,29,233,130,213,38,287,47,147,125,95,34,258,361,126,182,187,79,152,271,327,181,34,322,156,343,200,324,286,37,17,27,80,133,69,210,241,117,227,93,8
2018-10468,IntegerBug,88,262,244,101,64,123,143,152,161,42,62,59,139,56,78,43,36,63,104,106,75,253,80,409,65,78,87,43,122,455,65,251,107,349,81,585,363,61,252,138
2018-10706,IntegerBug,18,37,30,23,204,29,1044,31,16,142,190,30,15,39,27,31,31,30,32,6,27,25,27,165,42,197,30,23,208,22,9,44,31,34,38,30,25,106,27,24
2018-11446,IntegerBug,32,45,66,68,16,41,65,65,71,224,15,68,1801,74,228,46,70,49,71,6,41,66,41,68,256,667,33,64,49,37,5,270,583,75,33,217,15,235,65,412
2018-12062,IntegerBug,2,19,18,24,20,20,5,18,20,17,20,13,21,12,12,15,18,17,12,4,11,16,28,2,18,3,5,18,47,19,42,43,22,21,15,19,15,22,4,4
2018-12063,IntegerBug,56,61,25,24,60,24,52,32,34,48,14,44,4,59,20,34,50,13,62,33,29,56,19,44,63,41,4,59,21,3,46,79,34,24,21,75,26,46,25,21
2018-12067,IntegerBug,25,20,3,19,3,3,16,19,20,25,18,7,21,3,26,32,13,3,17,1,3,22,23,68,19,2,3,12,3,3,62,12,11,2,19,17,23,3,15,29
2018-12068,IntegerBug,18,22,18,21,18,17,14,22,18,12,18,3,31,51,21,17,21,3,35,8,3,15,18,17,3,15,18,3,18,3,38,21,15,49,17,3,3,4,11,17
2018-12070,IntegerBug,57,4,72,54,16,23,129,62,50,66,23,47,74,24,76,53,36,31,17,47,19,25,32,31,22,55,57,48,66,35,65,53,22,54,43,40,27,3,35,23
2018-13070,IntegerBug,35,34,9,10,11,11,9,44,9,43,20,38,42,12,19,18,12,39,28,10,12,20,20,19,43,19,36,19,18,45,19,39,41,33,12,41,10,47,18,45
2018-13126,IntegerBug,9,14,54,24,26,19,25,40,N/A,87,20,19,22,N/A,55,25,27,N/A,20,23,N/A,27,20,18,157,36,35,37,15,100,39,26,22,4,21,177,29,N/A,24,N/A
2018-13127,IntegerBug,50,36,6,123,18,576,52,117,6,11,12,837,136,79,57,51,61,66,66,41,11,N/A,113,60,6,52,33,55,63,41,346,28,358,57,N/A,116,N/A,51,1556,57
2018-13129,IntegerBug,59,74,14,55,61,15,66,76,2632,72,15,78,74,69,67,235,73,96,595,58,77,1009,14,72,80,78,6,457,61,15,71,79,529,77,68,73,60,67,73,68
2018-13130,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13131,IntegerBug,60,73,50,58,61,155,1703,3288,57,117,119,393,61,51,55,90,56,811,61,385,61,516,140,5,262,5,54,35,53,203,32,8,74,58,113,78,57,56,2435,53
2018-13132,IntegerBug,68,75,66,16,74,68,69,68,15,61,55,90,71,888,15,63,15,15,78,76,67,7,72,85,53,68,65,15,78,59,131,62,68,77,65,83,71,76,136,247
2018-13144,IntegerBug,997,725,N/A,N/A,N/A,N/A,N/A,N/A,5049,505,747,3368,6044,N/A,2081,N/A,836,1648,N/A,N/A,1535,N/A,903,N/A,N/A,N/A,N/A,6476,4848,N/A,N/A,1272,N/A,335,N/A,N/A,N/A,N/A,N/A,N/A
2018-13155,IntegerBug,36,15,16,18,14,62,14,60,23,44,13,21,45,15,29,19,23,49,23,59,22,38,13,14,13,15,14,23,15,23,16,14,17,16,14,20,14,45,15,14
2018-13166,IntegerBug,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-13167,IntegerBug,12,8,9,12,30,9,6,16,31,9,19,18,11,16,6,10,17,9,8,27,9,31,5,40,18,11,6,11,4,32,10,11,10,6,6,6,18,16,7,28
2018-13177,IntegerBug,13,45,15,12,42,55,16,19,20,21,15,48,20,18,16,14,16,21,14,16,50,46,35,24,15,16,17,24,18,25,18,13,12,24,44,17,50,14,14,17
2018-13183,IntegerBug,72,172,162,28,73,53,36,60,85,121,171,41,36,93,68,58,165,58,77,50,40,104,75,9,177,68,65,135,43,166,64,107,9,6,33,90,30,258,39,55
2018-13189,IntegerBug,4,8,15,13,9,29,15,7,32,13,35,9,34,7,8,26,35,32,8,31,31,7,17,14,25,14,7,6,32,14,14,33,14,8,6,14,7,33,38,7
2018-13196,IntegerBug,11,15,3,3,17,14,18,2,20,33,35,14,15,3,11,8,21,10,20,18,14,2,3,20,14,19,21,19,19,18,33,11,2,16,20,38,17,14,58,59
2018-13197,IntegerBug,73,55,12,50,31,78,53,61,34,47,12,18,93,86,47,85,48,210,12,46,59,49,58,27,15,57,45,87,57,34,63,61,50,54,8,52,72,45,12,13
